[2023.05.23 10:29:45.930] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:51:40.818] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.824] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.825] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.828] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:51:41.021] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:51:41.039] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:51:41.041] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:51:41.042] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:51:41.048] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:51:41.186] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:51:41.202] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:51:41.209] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:51:41.212] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:51:41.214] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:51:44.154] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:51:44.168] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:51:44.169] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:51:44.170] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:51:44.171] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:52:12.257] [HTTP] /Visualization.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 10:52:12.261] [Error:404] /Visualization.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\${id}'/n
[2023.05.23 10:52:13.383] [HTTP] /Visualization.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 10:52:13.385] [Error:404] /Visualization.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\${id}'/n
[2023.05.23 10:52:16.023] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:52:16.034] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:52:16.037] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:52:16.038] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:52:16.040] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:53:13.211] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:53:13.232] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:53:13.240] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:53:13.243] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:53:13.245] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:54:07.072] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 10:54:07.075] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.23 10:54:07.551] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 10:54:07.553] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.23 10:54:10.041] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 10:54:10.051] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:54:10.054] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:54:10.056] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:54:10.059] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:56:56.453] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 10:56:56.469] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:56:56.473] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:56:56.474] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:56:56.476] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:08.379] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:08.390] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:08.392] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:08.394] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:08.396] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:08.964] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:08.975] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:08.976] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:08.978] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:08.979] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:09.133] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:09.147] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:09.149] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:09.150] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:09.152] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:16.430] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:16.442] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:16.444] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:16.447] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:16.448] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:33.622] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:33.632] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:33.633] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:33.634] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:33.635] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:34.069] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:34.083] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.084] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.085] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.086] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:34.248] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:34.263] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.265] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.266] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.268] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:34.403] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:34.417] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.418] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.419] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.420] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:34.564] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:34.579] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.580] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.582] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.583] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:34.716] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:34.733] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.735] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.737] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.738] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:34.867] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:34.882] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.884] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.885] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:34.886] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:43.604] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:43.631] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:43.633] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:43.634] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:43.635] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:40:43.989] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:40:44.001] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:40:44.002] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:40:44.003] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:40:44.004] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:43:19.011] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:43:19.026] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.028] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.030] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.032] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:43:19.220] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:43:19.232] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.234] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.236] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.238] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:43:19.380] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:43:19.395] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.397] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.398] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.399] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:43:19.539] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:43:19.551] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.553] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.555] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:43:19.556] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:43:28.765] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 11:43:28.777] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:43:28.779] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:43:28.781] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:43:28.783] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:43:39.182] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:43:39.194] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:43:39.195] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:43:39.197] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:43:39.198] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:44:10.320] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:44:10.333] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:44:10.334] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:44:10.336] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:44:10.337] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:44:10.506] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:44:10.518] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:44:10.519] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:44:10.521] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:44:10.522] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:25.240] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:25.265] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.267] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.268] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.269] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:25.380] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:25.393] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.395] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.396] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.397] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:25.528] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:25.546] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.548] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.550] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.551] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:25.677] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:25.690] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.692] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.695] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.697] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:25.820] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:25.834] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.835] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.836] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.837] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:25.978] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:25.992] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.994] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.996] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:25.997] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:36.150] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:36.162] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.163] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.165] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.166] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:36.533] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:36.547] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.548] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.549] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.550] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:36.717] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:36.734] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.736] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.746] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.749] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:47:36.876] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:47:36.888] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.890] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.891] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:47:36.894] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:50:51.055] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:50:51.069] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.071] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.073] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.075] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:50:51.223] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:50:51.240] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.242] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.244] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.246] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:50:51.374] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:50:51.390] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.391] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.393] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.395] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:50:51.524] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:50:51.537] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.538] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.539] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:50:51.540] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:51:24.712] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 11:51:24.723] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:51:24.725] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:51:24.728] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:51:24.729] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:01:40.225] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:01:40.237] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:01:40.238] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:01:40.239] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:01:40.240] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:01:40.589] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:01:40.602] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:01:40.603] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:01:40.604] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:01:40.605] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:25.537] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:25.550] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:25.552] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:25.553] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:25.554] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:25.725] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:25.737] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:25.739] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:25.741] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:25.743] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:26.109] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:26.120] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:26.122] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:26.123] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:26.124] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:31.864] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:31.879] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:31.881] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:31.883] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:31.884] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:32.269] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:32.283] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.284] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.285] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.286] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:32.438] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
