[2023.05.24 10:34:57.799] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 10:44:00.274] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:44:00.276] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:44:00.277] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:45:43.763] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.05.24 10:45:43.776] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:45:43.778] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:45:43.779] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:45:43.780] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:47:14.613] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.05.24 10:47:14.634] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:47:14.637] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:47:14.638] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:47:14.639] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:48:40.700] [HTTP] /Tableinsert.page (Method: GET, IP: ::1)
[2023.05.24 10:48:40.714] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:48:40.717] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:48:40.718] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:48:40.719] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:49:17.541] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.24 10:49:17.552] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:49:17.554] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:49:17.557] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:49:17.558] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:49:18.091] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.24 10:49:18.104] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:49:18.107] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:49:18.108] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:49:18.110] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:50:40.332] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 10:50:40.345] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:50:40.346] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:50:40.347] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:50:40.349] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:51:00.436] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 10:51:00.446] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:51:00.447] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:51:00.449] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:51:00.450] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:51:38.229] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:51:38.242] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.243] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.244] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.246] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:51:38.411] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:51:38.422] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.423] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.424] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.425] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:51:38.563] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:51:38.576] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.577] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.579] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.580] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:51:38.692] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:51:38.702] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.704] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.705] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:51:38.706] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:51:50.334] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:51:50.345] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:51:50.346] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:51:50.348] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:51:50.349] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:51:50.596] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:51:50.608] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:51:50.609] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:51:50.610] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:51:50.611] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:57:39.188] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:57:39.200] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:57:39.202] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:57:39.204] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:57:39.205] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:03:19.150] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:03:19.161] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:03:19.162] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:03:19.164] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:03:19.165] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:07:31.468] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:07:31.480] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:07:31.482] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:07:31.485] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:07:31.487] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:07:55.526] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.24 11:07:55.539] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:07:55.541] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:07:55.542] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:07:55.542] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:08:24.648] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 11:08:24.651] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 11:08:27.114] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:08:27.126] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:08:27.127] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:08:27.129] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:08:27.131] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:09:58.880] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 11:09:58.882] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 11:10:00.946] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:10:00.971] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:10:00.974] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:10:00.977] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:10:00.978] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:11:30.379] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.24 11:11:30.393] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:11:30.395] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:11:30.396] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:11:30.398] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:18:37.861] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:18:37.871] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:18:37.872] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:18:37.873] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:18:37.874] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:19:33.951] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:19:33.963] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:19:33.966] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:19:33.967] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:19:33.969] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:31:22.833] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 11:31:22.836] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 11:31:24.403] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:31:24.427] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:31:24.429] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 11:31:24.431] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:31:24.432] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:43:49.171] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 11:43:49.185] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 11:43:49.187] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 11:43:49.188] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 11:43:49.191] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:04:32.068] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:04:32.082] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:04:32.085] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:04:32.098] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:04:32.100] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:04:37.886] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:04:37.899] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:04:37.901] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:04:37.902] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:04:37.903] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:04:38.293] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:04:38.305] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.306] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.307] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.308] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:04:38.450] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:04:38.462] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.464] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.466] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.467] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:04:38.603] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:04:38.615] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.617] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.618] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.619] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:04:38.756] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:04:38.767] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.769] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.770] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:04:38.771] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:05:57.890] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:05:57.903] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:05:57.906] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:05:57.908] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:05:57.910] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:06:19.694] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:06:19.708] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:06:19.710] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:06:19.712] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:06:19.713] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:06:20.287] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:06:20.313] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.316] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.317] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.318] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:06:20.468] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:06:20.479] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.480] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.481] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.482] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:06:20.629] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:06:20.644] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.647] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.648] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:06:20.649] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:06:29.548] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 15:06:29.562] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:06:29.563] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:06:29.565] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:06:29.565] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:07:22.545] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:07:22.558] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:07:22.560] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:07:22.562] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:07:22.564] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:07:24.309] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 15:07:24.323] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:07:24.326] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:07:24.326] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:07:24.327] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:07:36.062] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:07:36.076] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:07:36.078] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:07:36.079] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:07:36.080] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:07:36.807] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:07:36.820] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:07:36.821] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:07:36.822] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:07:36.823] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:12:40.859] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:12:40.870] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:12:40.871] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:12:40.873] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:12:40.874] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:12:45.533] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:12:45.550] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:12:45.552] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:12:45.553] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:12:45.555] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:12:45.739] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:12:45.750] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:12:45.751] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 15:12:45.753] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 15:12:45.755] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 15:16:17.370] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 15:16:17.382] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 15:16:17.384] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
